latitude,longitude,property,mapped_unit,mean_value_mapped_unit,mean_uncertainty_mapped_unit,target_unit,mean_value_target_unit,mean_uncertainty_target_unit
52.44201754385965,18.843333333333334,bdod,cg/cm³,129.66666666666666,7.666666666666667,kg/dm³,1.2966666666666666,0.0766666666666666
52.44201754385965,18.843333333333334,cec,mmol(c)/kg,191.66666666666663,42.0,cmol(c)/kg,19.166666666666664,4.2
52.44201754385965,18.843333333333334,cfvo,cm³/dm³,52.0,43.66666666666666,cm³/100cm³,5.2,4.366666666666666
52.44201754385965,18.843333333333334,clay,g/kg,85.66666666666667,36.333333333333336,%,8.566666666666666,3.6333333333333337
52.44201754385965,18.843333333333334,nitrogen,cg/kg,356.3333333333333,84.0,g/kg,3.563333333333333,0.84
52.44201754385965,18.843333333333334,ocd,dg/dm³,237.3333333333333,25.33333333333333,hg/m³,23.73333333333333,2.533333333333333
52.44201754385965,18.843333333333334,phh2o,pH*10,52.66666666666666,7.0,-,5.266666666666667,0.7
52.44201754385965,18.843333333333334,sand,g/kg,734.6666666666666,5.666666666666667,%,73.46666666666667,0.5666666666666667
52.44201754385965,18.843333333333334,silt,g/kg,179.66666666666666,25.33333333333333,%,17.966666666666665,2.533333333333333
52.44201754385965,18.843333333333334,soc,dg/kg,360.0,89.66666666666667,g/kg,36.0,8.966666666666667
52.44201754385965,18.843333333333334,wv0010,(10-2 cm³/cm³)*10,405.0,8.0,10-2 cm³/cm³,40.5,0.8
52.44201754385965,18.843333333333334,wv0033,(10-2 cm³/cm³)*10,331.3333333333333,10.333333333333334,10-2 cm³/cm³,33.13333333333333,1.0333333333333334
52.44201754385965,18.843333333333334,wv1500,(10-2 cm³/cm³)*10,75.33333333333333,20.0,10-2 cm³/cm³,7.533333333333333,2.0
52.4419298245614,18.84,bdod,cg/cm³,129.33333333333334,7.666666666666667,kg/dm³,1.2933333333333334,0.0766666666666666
52.4419298245614,18.84,cec,mmol(c)/kg,200.0,43.66666666666666,cmol(c)/kg,20.0,4.366666666666666
52.4419298245614,18.84,cfvo,cm³/dm³,54.66666666666666,56.0,cm³/100cm³,5.466666666666667,5.6
52.4419298245614,18.84,clay,g/kg,83.0,36.66666666666666,%,8.3,3.6666666666666665
52.4419298245614,18.84,nitrogen,cg/kg,332.0,70.0,g/kg,3.32,0.7
52.4419298245614,18.84,ocd,dg/dm³,230.66666666666663,27.0,hg/m³,23.066666666666663,2.7
52.4419298245614,18.84,phh2o,pH*10,52.66666666666666,6.666666666666667,-,5.266666666666667,0.6666666666666667
52.4419298245614,18.84,sand,g/kg,746.6666666666666,5.333333333333333,%,74.66666666666666,0.5333333333333333
52.4419298245614,18.84,silt,g/kg,170.33333333333334,25.666666666666668,%,17.033333333333335,2.566666666666667
52.4419298245614,18.84,soc,dg/kg,495.6666666666667,199.0,g/kg,49.56666666666667,19.9
52.4419298245614,18.84,wv0010,(10-2 cm³/cm³)*10,405.6666666666667,9.333333333333334,10-2 cm³/cm³,40.56666666666667,0.9333333333333332
52.4419298245614,18.84,wv0033,(10-2 cm³/cm³)*10,339.0,11.0,10-2 cm³/cm³,33.9,1.1
52.4419298245614,18.84,wv1500,(10-2 cm³/cm³)*10,70.33333333333333,18.666666666666668,10-2 cm³/cm³,7.033333333333333,1.8666666666666667
52.44210526315789,18.846666666666668,bdod,cg/cm³,129.33333333333334,8.666666666666666,kg/dm³,1.2933333333333334,0.0866666666666666
52.44210526315789,18.846666666666668,cec,mmol(c)/kg,192.3333333333333,39.0,cmol(c)/kg,19.23333333333333,3.9
52.44210526315789,18.846666666666668,cfvo,cm³/dm³,52.66666666666666,34.666666666666664,cm³/100cm³,5.266666666666667,3.4666666666666663
52.44210526315789,18.846666666666668,clay,g/kg,95.33333333333331,47.333333333333336,%,9.533333333333331,4.733333333333333
52.44210526315789,18.846666666666668,nitrogen,cg/kg,329.6666666666667,70.33333333333333,g/kg,3.296666666666667,0.7033333333333333
52.44210526315789,18.846666666666668,ocd,dg/dm³,227.0,24.666666666666668,hg/m³,22.7,2.466666666666667
52.44210526315789,18.846666666666668,phh2o,pH*10,52.66666666666666,6.333333333333333,-,5.266666666666667,0.6333333333333333
52.44210526315789,18.846666666666668,sand,g/kg,729.6666666666666,6.666666666666667,%,72.96666666666667,0.6666666666666667
52.44210526315789,18.846666666666668,silt,g/kg,174.66666666666666,27.0,%,17.466666666666665,2.7
52.44210526315789,18.846666666666668,soc,dg/kg,344.3333333333333,88.33333333333333,g/kg,34.43333333333333,8.833333333333332
52.44210526315789,18.846666666666668,wv0010,(10-2 cm³/cm³)*10,405.3333333333333,8.333333333333334,10-2 cm³/cm³,40.53333333333333,0.8333333333333334
52.44210526315789,18.846666666666668,wv0033,(10-2 cm³/cm³)*10,332.0,11.333333333333334,10-2 cm³/cm³,33.2,1.1333333333333333
52.44210526315789,18.846666666666668,wv1500,(10-2 cm³/cm³)*10,71.0,20.33333333333333,10-2 cm³/cm³,7.1,2.033333333333333
52.44219298245614,18.85,bdod,cg/cm³,133.66666666666666,7.333333333333333,kg/dm³,1.336666666666667,0.0733333333333333
52.44219298245614,18.85,cec,mmol(c)/kg,198.66666666666663,39.333333333333336,cmol(c)/kg,19.866666666666667,3.9333333333333336
52.44219298245614,18.85,cfvo,cm³/dm³,52.333333333333336,34.333333333333336,cm³/100cm³,5.233333333333333,3.4333333333333336
52.44219298245614,18.85,clay,g/kg,86.66666666666667,47.66666666666666,%,8.666666666666668,4.766666666666667
